          Vxlan Mac Address Table
----------------------------------------------------------------------

VLAN  Mac Address     Type     Prt  VTEP             Moves   Last Move
  10  0050.56a1.c2b5  RECEIVED  Vx1  10.11.14.23      8       131 days, 5:21:34 ago
  10  0050.56a1.cba4  RECEIVED  Vx1  10.11.14.23      672     356 days, 9:51:05 ago
  10  0050.56a1.cdf8  RECEIVED  Vx1  10.11.14.23      4       336 days, 15:09:27 ago
  10  0050.56a1.d145  RECEIVED  Vx1  10.11.14.23      10      414 days, 0:21:20 ago
  10  0050.56a1.d155  RECEIVED  Vx1  10.11.14.23      9       131 days, 5:06:25 ago
  10  0050.56a1.d5be  RECEIVED  Vx1  10.11.14.23      18      575 days, 10:29:02 ago
  10  0050.56a1.d8c2  RECEIVED  Vx1  10.11.14.23      5       34 days, 13:43:01 ago
  10  0050.56a1.df57  RECEIVED  Vx1  10.11.14.23      7       336 days, 15:09:19 ago
  10  0050.56a1.e3af  RECEIVED  Vx1  10.11.14.23      15      575 days, 10:29:02 ago
  10  0050.56a1.f619  RECEIVED  Vx1  10.11.14.23      160     356 days, 8:11:04 ago
  10  0050.56a1.f652  RECEIVED  Vx1  10.11.14.23      49      575 days, 10:29:02 ago
  10  0050.56a1.f916  RECEIVED  Vx1  10.11.14.23      2       22 days, 15:46:59 ago
  10  7483.ef00.4867  RECEIVED  Vx1  10.11.14.23      1       575 days, 9:42:31 ago
  10  7483.ef00.4b01  RECEIVED  Vx1  10.11.14.21      1       575 days, 10:29:02 ago
  10  7483.ef00.4b95  RECEIVED  Vx1  10.11.14.23      1       575 days, 9:58:09 ago
  10  7483.ef00.4bdf  RECEIVED  Vx1  10.11.14.21      1       575 days, 10:29:02 ago
  10  c0d6.82bf.3d56  RECEIVED  Vx1  10.11.14.24      1       33 days, 8:38:08 ago
  11  7483.ef00.4867  RECEIVED  Vx1  10.11.14.23      1       575 days, 9:42:31 ago
  11  7483.ef00.4b01  RECEIVED  Vx1  10.11.14.21      1       575 days, 10:29:02 ago
  11  7483.ef00.4b95  RECEIVED  Vx1  10.11.14.23      1       575 days, 9:58:09 ago
  11  7483.ef00.4bdf  RECEIVED  Vx1  10.11.14.21      1       575 days, 10:29:02 ago
  11  b40c.25e2.8010  RECEIVED  Vx1  10.11.14.21      23      575 days, 10:29:02 ago
  11  c0d6.82bf.3d56  RECEIVED  Vx1  10.11.14.24      1       33 days, 8:38:08 ago
  12  7483.ef00.4867  RECEIVED  Vx1  10.11.14.23      1       575 days, 9:42:32 ago
  12  7483.ef00.4b01  RECEIVED  Vx1  10.11.14.21      1       575 days, 10:29:02 ago
  12  7483.ef00.4b95  RECEIVED  Vx1  10.11.14.23      1       575 days, 9:58:09 ago
  12  7483.ef00.4bdf  RECEIVED  Vx1  10.11.14.21      1       575 days, 10:29:02 ago
  12  b40c.25e2.8010  RECEIVED  Vx1  10.11.14.21      13      575 days, 10:29:02 ago
  12  c0d6.82bf.3d56  RECEIVED  Vx1  10.11.14.24      1       33 days, 8:38:08 ago
  13  7483.ef00.4867  RECEIVED  Vx1  10.11.14.23      1       575 days, 9:42:31 ago
  13  7483.ef00.4b01  RECEIVED  Vx1  10.11.14.21      1       575 days, 10:29:02 ago
  13  7483.ef00.4b95  RECEIVED  Vx1  10.11.14.23      1       575 days, 9:58:09 ago
  13  7483.ef00.4bdf  RECEIVED  Vx1  10.11.14.21      1       575 days, 10:29:02 ago
  13  b40c.25e2.8010  RECEIVED  Vx1  10.11.14.21      22      575 days, 10:29:02 ago
  13  c0d6.82bf.3d56  RECEIVED  Vx1  10.11.14.24      1       33 days, 8:38:08 ago
  15  7483.ef00.4867  RECEIVED  Vx1  10.11.14.23      1       575 days, 9:42:31 ago
  15  7483.ef00.4b01  RECEIVED  Vx1  10.11.14.21      1       575 days, 10:29:02 ago
  15  7483.ef00.4b95  RECEIVED  Vx1  10.11.14.23      1       575 days, 9:58:09 ago
  15  7483.ef00.4bdf  RECEIVED  Vx1  10.11.14.21      1       575 days, 10:29:02 ago
  15  b40c.25e2.8010  RECEIVED  Vx1  10.11.14.21      23      575 days, 10:29:02 ago
  15  c0d6.82bf.3d56  RECEIVED  Vx1  10.11.14.24      1       33 days, 8:38:08 ago
  16  0050.56a1.bf3d  RECEIVED  Vx1  10.11.14.23      5       575 days, 10:29:02 ago
  16  7483.ef00.4867  RECEIVED  Vx1  10.11.14.23      1       575 days, 9:42:32 ago
  16  7483.ef00.4b01  RECEIVED  Vx1  10.11.14.21      1       575 days, 10:29:02 ago
  16  7483.ef00.4b95  RECEIVED  Vx1  10.11.14.23      1       575 days, 9:58:09 ago
  16  7483.ef00.4bdf  RECEIVED  Vx1  10.11.14.21      1       575 days, 10:29:02 ago
  16  c0d6.82bf.3d56  RECEIVED  Vx1  10.11.14.24      1       33 days, 8:38:08 ago
  18  7483.ef00.4867  RECEIVED  Vx1  10.11.14.23      1       575 days, 9:42:31 ago
  18  7483.ef00.4b01  RECEIVED  Vx1  10.11.14.21      1       575 days, 10:29:02 ago
  18  7483.ef00.4b95  RECEIVED  Vx1  10.11.14.23      1       575 days, 9:58:09 ago
  18  7483.ef00.4bdf  RECEIVED  Vx1  10.11.14.21      1       575 days, 10:29:02 ago
  18  b40c.25e2.8010  RECEIVED  Vx1  10.11.14.21      14      575 days, 10:29:02 ago
  18  c0d6.82bf.3d56  RECEIVED  Vx1  10.11.14.24      1       33 days, 8:38:08 ago
  20  7483.ef00.4867  RECEIVED  Vx1  10.11.14.23      1       575 days, 9:42:31 ago
  20  7483.ef00.4b01  RECEIVED  Vx1  10.11.14.21      1       575 days, 10:29:02 ago
  20  7483.ef00.4b95  RECEIVED  Vx1  10.11.14.23      1       575 days, 9:58:09 ago
  20  7483.ef00.4bdf  RECEIVED  Vx1  10.11.14.21      1       575 days, 10:29:02 ago
  20  c0d6.82bf.3d56  RECEIVED  Vx1  10.11.14.24      1       33 days, 8:38:08 ago
  21  7483.ef00.4867  RECEIVED  Vx1  10.11.14.23      1       123 days, 3:33:06 ago
  21  7483.ef00.4b01  RECEIVED  Vx1  10.11.14.21      1       123 days, 3:34:08 ago
  21  7483.ef00.4b95  RECEIVED  Vx1  10.11.14.23      1       123 days, 3:33:04 ago
  21  7483.ef00.4bdf  RECEIVED  Vx1  10.11.14.21      1       123 days, 3:34:54 ago
  21  b40c.25e2.8010  RECEIVED  Vx1  10.11.14.21      3       123 days, 3:41:31 ago
  21  c0d6.82bf.3d56  RECEIVED  Vx1  10.11.14.24      1       33 days, 8:38:08 ago
  29  0001.e88b.d1e6  RECEIVED  Vx1  10.11.14.21      1       0:04:52 ago
  29  0050.56ac.02c5  RECEIVED  Vx1  10.11.14.21      1       508 days, 16:35:07 ago
  29  7483.ef00.4867  RECEIVED  Vx1  10.11.14.23      1       575 days, 9:42:31 ago
  29  7483.ef00.4b01  RECEIVED  Vx1  10.11.14.21      1       575 days, 10:29:02 ago
  29  7483.ef00.4b95  RECEIVED  Vx1  10.11.14.23      1       575 days, 9:58:09 ago
  29  7483.ef00.4bdf  RECEIVED  Vx1  10.11.14.21      1       575 days, 10:29:02 ago
  29  b40c.25e2.8010  RECEIVED  Vx1  10.11.14.21      13      575 days, 10:29:02 ago
  29  c0d6.82bf.3d56  RECEIVED  Vx1  10.11.14.24      1       33 days, 8:38:08 ago
  30  b40c.25e2.8010  RECEIVED  Vx1  10.11.14.21      10      575 days, 10:29:02 ago
  40  7483.ef00.4867  RECEIVED  Vx1  10.11.14.23      1       575 days, 9:42:32 ago
  40  7483.ef00.4b01  RECEIVED  Vx1  10.11.14.21      1       575 days, 10:29:02 ago
  40  7483.ef00.4b95  RECEIVED  Vx1  10.11.14.23      1       575 days, 9:58:09 ago
  40  7483.ef00.4bdf  RECEIVED  Vx1  10.11.14.21      1       575 days, 10:29:02 ago
  40  c0d6.82bf.3d56  RECEIVED  Vx1  10.11.14.24      1       33 days, 8:38:08 ago
  41  7483.ef00.4867  RECEIVED  Vx1  10.11.14.23      1       575 days, 9:42:32 ago
  41  7483.ef00.4b01  RECEIVED  Vx1  10.11.14.21      1       575 days, 10:29:02 ago
  41  7483.ef00.4b95  RECEIVED  Vx1  10.11.14.23      1       378 days, 10:31:12 ago
  41  7483.ef00.4bdf  RECEIVED  Vx1  10.11.14.21      1       378 days, 7:54:01 ago
  41  b40c.25e2.8010  RECEIVED  Vx1  10.11.14.21      15      575 days, 10:29:02 ago
  41  c0d6.82bf.3d56  RECEIVED  Vx1  10.11.14.24      1       33 days, 8:38:08 ago
  42  7483.ef00.4867  RECEIVED  Vx1  10.11.14.23      1       575 days, 9:42:31 ago
  42  7483.ef00.4b01  RECEIVED  Vx1  10.11.14.21      1       575 days, 10:29:02 ago
  42  7483.ef00.4b95  RECEIVED  Vx1  10.11.14.23      1       575 days, 9:58:09 ago
  42  7483.ef00.4bdf  RECEIVED  Vx1  10.11.14.21      1       575 days, 10:29:02 ago
  42  b40c.25e2.8010  RECEIVED  Vx1  10.11.14.21      13      575 days, 10:29:02 ago
  42  c0d6.82bf.3d56  RECEIVED  Vx1  10.11.14.24      1       33 days, 8:38:08 ago
  43  7483.ef00.4bdf  RECEIVED  Vx1  10.11.14.21      1       575 days, 10:29:02 ago
  44  7483.ef00.4b01  RECEIVED  Vx1  10.11.14.21      1       575 days, 10:29:02 ago
  45  7483.ef00.4867  RECEIVED  Vx1  10.11.14.23      1       378 days, 10:04:29 ago
  45  7483.ef00.4b01  RECEIVED  Vx1  10.11.14.21      1       378 days, 10:00:09 ago
  45  7483.ef00.4b95  RECEIVED  Vx1  10.11.14.23      1       378 days, 10:01:02 ago
  45  7483.ef00.4bdf  RECEIVED  Vx1  10.11.14.21      1       378 days, 7:57:30 ago
  45  b40c.25e2.8010  RECEIVED  Vx1  10.11.14.21      5       378 days, 9:39:57 ago
  45  c0d6.82bf.3d56  RECEIVED  Vx1  10.11.14.24      1       33 days, 8:38:08 ago
  46  7483.ef00.4867  RECEIVED  Vx1  10.11.14.23      1       248 days, 23:26:25 ago
  46  7483.ef00.4b01  RECEIVED  Vx1  10.11.14.21      1       248 days, 23:26:26 ago
  46  7483.ef00.4b95  RECEIVED  Vx1  10.11.14.23      1       248 days, 23:26:26 ago
  46  7483.ef00.4bdf  RECEIVED  Vx1  10.11.14.21      1       248 days, 23:26:26 ago
  46  b40c.25e2.8010  RECEIVED  Vx1  10.11.14.21      6       248 days, 23:26:26 ago
  46  c0d6.82bf.3d56  RECEIVED  Vx1  10.11.14.24      1       33 days, 8:38:08 ago
  48  7483.ef00.4867  RECEIVED  Vx1  10.11.14.23      1       575 days, 9:42:32 ago
  48  7483.ef00.4b95  RECEIVED  Vx1  10.11.14.23      1       575 days, 9:58:09 ago
  48  7483.ef00.4bdf  RECEIVED  Vx1  10.11.14.21      1       575 days, 10:29:02 ago
  48  c0d6.82bf.3d56  RECEIVED  Vx1  10.11.14.24      1       33 days, 8:38:08 ago
