Legend: 
        * - primary entry, G - Gateway MAC, (R) - Routed MAC, O - Overlay MAC
        age - seconds since last seen,+ - primary entry using vPC Peer-Link,
        (T) - True, (F) - False, C - ControlPlane MAC
   VLAN     MAC Address      Type      age     Secure NTFY Ports
* 3047     7c0e.cef3.e942   dynamic  0         F      F    Po2
* 3048     0000.0c9f.fbe8   dynamic  0         F      F    Po2
* 3048     001b.1700.0131   dynamic  0         F      F    Po2
* 3048     7c0e.cef3.e942   dynamic  0         F      F    Po2
* 3050     0000.0c9f.fbea   dynamic  0         F      F    Po2
* 3050     001b.1700.0131   dynamic  0         F      F    Po2
* 3050     7c0e.cef3.e942   dynamic  0         F      F    Po2
* 3051     0000.0c9f.fbeb   dynamic  0         F      F    Po2
* 3051     001b.1700.0131   dynamic  0         F      F    Po2
* 3052     0000.0c9f.fbec   dynamic  0         F      F    Po2
* 3052     001b.1700.0131   dynamic  0         F      F    Po2
* 3052     7c0e.cef3.e942   dynamic  0         F      F    Po2
* 3053     0000.0c9f.fbed   dynamic  0         F      F    Po2
* 3053     001b.1700.0131   dynamic  0         F      F    Po2
* 3053     7c0e.cef3.e942   dynamic  0         F      F    Po2
* 3054     0000.0c9f.fbee   dynamic  0         F      F    Po2
* 3054     001b.1700.0131   dynamic  0         F      F    Po2
* 3054     7c0e.cef3.e942   dynamic  0         F      F    Po2
* 3055     0000.0c9f.fbef   dynamic  0         F      F    Po2
* 3055     001b.1700.0131   dynamic  0         F      F    Po2
* 3055     7c0e.cef3.e942   dynamic  0         F      F    Po2
* 3056     0000.0c9f.fbf0   dynamic  0         F      F    Po2
* 3056     001b.1700.0131   dynamic  0         F      F    Po2
* 3056     7c0e.cef3.e942   dynamic  0         F      F    Po2
* 3057     0000.0c9f.fbf1   dynamic  0         F      F    Po2
* 3057     001b.1700.0131   dynamic  0         F      F    Po2
* 3058     0000.0c9f.fbf2   dynamic  0         F      F    Po2
* 3058     001b.1700.0131   dynamic  0         F      F    Po2
* 3058     7c0e.cef3.e942   dynamic  0         F      F    Po2
* 3059     0000.0c9f.fbf3   dynamic  0         F      F    Po2
* 3059     001b.1700.0131   dynamic  0         F      F    Po2
* 3059     7c0e.cef3.e942   dynamic  0         F      F    Po2
* 3060     0000.0c9f.fbf4   dynamic  0         F      F    Po2
* 3060     001b.1700.0131   dynamic  0         F      F    Po2
* 3060     7c0e.cef3.e942   dynamic  0         F      F    Po2
* 3061     0000.0c9f.fbf5   dynamic  0         F      F    Po2
* 3061     001b.1700.0131   dynamic  0         F      F    Po2
* 3061     7c0e.cef3.e942   dynamic  0         F      F    Po2
* 3062     0000.0c9f.fbf6   dynamic  0         F      F    Po2
* 3062     001b.1700.0131   dynamic  0         F      F    Po2
* 3062     7c0e.cef3.e942   dynamic  0         F      F    Po2
* 3100     0000.0c9f.fc1c   dynamic  0         F      F    Po2
* 3100     001b.1700.0131   dynamic  0         F      F    Po2
* 3100     7c0e.cef3.e942   dynamic  0         F      F    Po2
* 3101     0000.0c9f.fc1d   dynamic  0         F      F    Po2
* 3101     001b.1700.0131   dynamic  0         F      F    Po2
* 3101     7c0e.cef3.eb42   dynamic  0         F      F    Po2
* 3102     0000.0c9f.fc1e   dynamic  0         F      F    Po2
* 3102     001b.1700.0131   dynamic  0         F      F    Po2
* 3102     7c0e.cef3.e942   dynamic  0         F      F    Po2
* 3103     0000.0c9f.fc1f   dynamic  0         F      F    Po2
* 3103     001b.1700.0131   dynamic  0         F      F    Po2
* 3103     7c0e.cef3.eb42   dynamic  0         F      F    Po2
* 3105     0000.0c9f.fc21   dynamic  0         F      F    Po2
* 3105     001b.1700.0131   dynamic  0         F      F    Po2
* 3105     7c0e.cef3.e942   dynamic  0         F      F    Po2
* 3107     0000.0c9f.fc23   dynamic  0         F      F    Po2
* 3107     001b.1700.0131   dynamic  0         F      F    Po2
* 3107     7c0e.cef3.e942   dynamic  0         F      F    Po2
* 3109     0000.0c9f.fc25   dynamic  0         F      F    Po2
* 3109     001b.1700.0131   dynamic  0         F      F    Po2
* 3109     7c0e.cef3.e942   dynamic  0         F      F    Po2
* 3110     0000.0c9f.fc26   dynamic  0         F      F    Po2
* 3110     001b.1700.0131   dynamic  0         F      F    Po2
* 3110     7c0e.cef3.e942   dynamic  0         F      F    Po2
* 3114     0000.0c9f.fc2a   dynamic  0         F      F    Po2
* 3114     001b.1700.0131   dynamic  0         F      F    Po2
* 3114     7c0e.cef3.e942   dynamic  0         F      F    Po2
* 3120     001b.1700.0131   dynamic  0         F      F    Po2
* 3125     0000.0c9f.fc35   dynamic  0         F      F    Po2
* 3125     001b.1700.0131   dynamic  0         F      F    Po2
* 3125     7c0e.cef3.e942   dynamic  0         F      F    Po2
* 3129     0000.0c9f.fc39   dynamic  0         F      F    Po2
* 3129     001b.1700.0131   dynamic  0         F      F    Po2
